Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
207690,(1)CHEAT,(elbow)CHEAT,(elbow)CHEAT+,23013,23138,23063,23088,1,A,1,A,ASL_2011_06_08_Brady_scene26-camera1.mov,Lexical Signs,(1)CHEAT
501,(1)CHEAT,(elbow)CHEAT,(elbow)CHEAT++,22661,22807,22711,22757,1,A,1,A,ASL_2011_06_08_Brady_scene26-camera1.mov,Lexical Signs,(1)CHEAT
147,(1)WHO,(1)WHO,(1)WHO++,64,208,114,158,1,,1,,ASL_2011_07_22_Brady_scene30-camera1.mov,Lexical Signs,(1)WHO
39040,(1h)HAMMER+AGENT,(1h)HAMMER+AGENT,(1h)HAMMER+AGENT,7310,7447,7360,7397,X-over-thumb,,B-L,B-L,ASL_2011_06_14_Brady_scene43-camera1.mov,Compound Signs,(1h)HAMMER+AGENT
39045,(1h)HAPPY+NEW+YEAR,(1h)HAPPY+NEW+YEAR,(1h)HAPPY++NEW+YEAR,1866,2045,1916,1995,B-L,,S,S,ASL_2011_07_22_Brady_scene51-camera1.mov,Compound Signs,(1h)HAPPY+NEW+YEAR
39046,(1h)HAPPY+NEW+YEAR,(1h)HAPPY+NEW+YEAR,(1h)HAPPY++NEW+YEAR,628,800,678,750,B-L,,S,S,ASL_2011_07_19_Brady_scene69-camera1.mov,Compound Signs,(1h)HAPPY+NEW+YEAR
39071,(2h)alt.FIRE+PLACE,(2h)alt.FIRE+PLACE,(2h)alt.FIRE+PLACE,7141,7285,7191,7235,5,5,K,K,ASL_2011_06_14_Brady_scene18-camera1.mov,Compound Signs,(2h)alt.FIRE+PLACE
39073,(2h)alt.HAIRCUT+AGENT,(2h)alt.HAIRCUT+AGENT,(2h)alt.HAIRCUT+AGENT,3568,3701,3618,3651,V,V,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov,Compound Signs,(2h)alt.HAIRCUT+AGENT
39077,(2h)DRIBBLE+SHOOT-BASKET,(2h)DRIBBLE+SHOOT-BASKET,(2h)DRIBBLE++SHOOT-BASKET,24550,24693,24600,24643,5,5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene22-camera1.mov,Compound Signs,(2h)DRIBBLE+SHOOT-BASKET
415,(5)WEATHER,(5)WEATHER,(5)WEATHER,731,863,781,813,5,5,5,5,ASL_2011_07_22_Brady_scene26-camera1.mov,Lexical Signs,(5)WEATHER
457,(C)VOMIT,(C)VOMIT,(C)VOMIT,2537,2657,2587,2607,C,,C,,ASL_2011_07_22_Brady_scene21-camera1.mov,Lexical Signs,(C)VOMIT
496,(E)E-MAIL,(E)E-MAIL,(E)E-MAIL,2805,2921,2855,2871,E,1,E,1,ASL_2011_06_14_Brady_scene9-camera1.mov,Lexical Signs,(E)E-MAIL
